,twitch_name,steam_name,match_score,twitch_clean,steam_clean
791,Mount & Blade II: Bannerlord,Mount & Blade II: Bannerlord,100,mount  blade ii bannerlord,
793,Road 96,Road 96 🛣️,100,road 96,road 96
794,Automobilista 2,Automobilista 2,100,automobilista 2,
795,Drawy,Drawy,100,drawy,
798,HyperParasite,HyperParasite,100,hyperparasite,
802,Celeste,Celeste,100,celeste,
804,Krunker,Krunker,100,krunker,
805,The King of Fighters '98 Ultimate Match Final Edition,THE KING OF FIGHTERS '98 ULTIMATE MATCH FINAL EDITION,100,the king of fighters '98 ultimate match final edition,the king of fighters '98 ultimate match final edition
806,Ori and the Blind Forest,Ori and the Blind Forest,100,ori and the blind forest,
808,Battlefield 2042,Battlefield™ 2042,100,battlefield 2042,battlefield 2042
810,Victoria II,Victoria II,100,victoria ii,
812,Warzone,WARZONE,100,warzone,warzone
813,The Evil Within 2,The Evil Within 2,100,the evil within 2,
814,Totally Accurate Battle Simulator,Totally Accurate Battle Simulator,100,totally accurate battle simulator,
815,Chrono Trigger,CHRONO TRIGGER®,100,chrono trigger,chrono trigger
823,Pro Cycling Manager 2021,Pro Cycling Manager 2021,100,pro cycling manager 2021,
826,Return of the Obra Dinn,Return of the Obra Dinn,100,return of the obra dinn,
828,Ghost Exorcism Inc.,Ghost Exorcism INC.,100,ghost exorcism inc,ghost exorcism inc
829,Overcooked! 2,Overcooked! 2,100,overcooked 2,
841,The Secret of Monkey Island: Special Edition,The Secret of Monkey Island: Special Edition,100,the secret of monkey island special edition,
844,Detroit: Become Human,Detroit: Become Human,100,detroit become human,
846,The Witcher 3: Wild Hunt,The Witcher® 3: Wild Hunt,100,the witcher 3 wild hunt,the witcher 3 wild hunt
847,JANITOR BLEEDS,JANITOR BLEEDS,100,janitor bleeds,
848,The Town of Light,The Town of Light,100,the town of light,
850,Super Robot Wars 30,Super Robot Wars 30,100,super robot wars 30,
857,Half-Life: Alyx,Half-Life: Alyx,100,halflife alyx,
861,Friday the 13th: Killer Puzzle,Friday the 13th: Killer Puzzle,100,friday the 13th killer puzzle,
864,Who Wants to Be a Millionaire,Who Wants To Be A Millionaire,100,who wants to be a millionaire,who wants to be a millionaire
870,Wreckfest,Wreckfest,100,wreckfest,
872,Star Wars Battlefront II,STAR WARS™ Battlefront™ II,100,star wars battlefront ii,star wars battlefront ii
880,Plague Inc: Evolved,Plague Inc: Evolved,100,plague inc evolved,
887,Dragon Ball FighterZ,DRAGON BALL FighterZ,100,dragon ball fighterz,dragon ball fighterz
891,The House of Da Vinci 2,The House of Da Vinci 2,100,the house of da vinci 2,
894,7 Days to Die,7 Days to Die,100,7 days to die,
