,twitch_name,steam_name,match_score,twitch_clean,steam_clean
699,Kirby and the Forgotten Land,,,kirby and the forgotten land,
700,Gartic.io,,,garticio,
702,Overwatch 2,,,overwatch 2,
705,Holdfast: Nations At War,,,holdfast nations at war,
708,Quordle,,,quordle,
710,Retail Royale,,,retail royale,
711,Super Mario Land 2: 6 Golden Coins,,,super mario land 2 6 golden coins,
712,Crash Bandicoot,,,crash bandicoot,
714,The Wardrobe: Even Better Edition,,,the wardrobe even better edition,
715,Rescue Party: Live!,,,rescue party live,
717,I'm Only Sleeping,,,i'm only sleeping,
718,Pokémon Unite,,,pokmon unite,
720,Arma Reforger,,,arma reforger,
721,Digimon Story Cyber Sleuth,,,digimon story cyber sleuth,
723,Super Mario World,,,super mario world,
724,Vampire: The Masquerade - Swansong,,,vampire the masquerade  swansong,
726,Pokémon HeartGold/SoulSilver,,,pokmon heartgoldsoulsilver,
727,The Last of Us Part II,,,the last of us part ii,
732,Chrono Cross,,,chrono cross,
734,Lost Alone Ep.2: Daddy,,,lost alone ep2 daddy,
735,Prehistoric Kingdom,,,prehistoric kingdom,
736,Cookie Run: Kingdom,,,cookie run kingdom,
738,Sekiro: Shadows Die Twice,,,sekiro shadows die twice,
740,Achilles: Legends Untold,,,achilles legends untold,
741,Helldivers,,,helldivers,
742,On The Road,,,on the road,
745,Just Dance 2022,,,just dance 2022,
746,"Animals, Aquariums, and Zoos",,,animals aquariums and zoos,
747,Super Animal Royale,,,super animal royale,
748,Metal Gear Solid V: The Phantom Pain,,,metal gear solid v the phantom pain,
750,.hack//G.U. Vol. 1: Rebirth,,,hackgu vol 1 rebirth,
751,Final Fantasy: Brave Exvius,,,final fantasy brave exvius,
752,The Closing Shift,,,the closing shift,
753,Ultimate Epic Battle Simulator 2,,,ultimate epic battle simulator 2,
756,SCUM,,,scum,
757,Virtual Casino,,,virtual casino,
758,TETRIS 99,,,tetris 99,
760,Pokémon Colosseum,,,pokmon colosseum,
763,Resident Evil CODE: Veronica,,,resident evil code veronica,
764,SnowRunner,,,snowrunner,
767,Briscola,,,briscola,
768,Bugsnax,,,bugsnax,
769,Tekken 3,,,tekken 3,
772,Two Hours One Life,,,two hours one life,
774,Nintendo Switch Sports,,,nintendo switch sports,
775,Vesper,,,vesper,
777,Dislyte,,,dislyte,
779,Hay Day,,,hay day,
781,Enslaved: Odyssey to the West,,,enslaved odyssey to the west,
782,The Dark Occult,,,the dark occult,
783,Live Bingo,,,live bingo,
784,Patapon,,,patapon,
785,Saint Seiya: Awakening,,,saint seiya awakening,
788,"Zero Escape: Nine Hours, Nine Persons, Nine Doors",,,zero escape nine hours nine persons nine doors,
789,Trials Fusion,,,trials fusion,
792,Captain Tsubasa: Rise of New Champions,,,captain tsubasa rise of new champions,
